,Beer_Rating,Covered,Customer_Rating,Price,Row,Section,Home_Away
124,3.0,0.0,4.0,110.16499999999999,11,126,1
127,3.0,0.0,4.0,111.83500000000001,15,126,1
128,3.0,0.0,4.0,121.5,2,126,1
132,3.0,0.0,4.0,125.5,31,126,1
136,3.0,0.0,4.0,110.41499999999999,8,126,1
137,3.0,0.0,4.0,110.41499999999999,8,126,1
138,4.0,0.0,4.0,182.375,1,127,1
140,4.0,0.0,4.0,123.0,11,127,1
141,4.0,0.0,4.0,136.25,12,127,1
155,5.0,0.0,5.0,184.625,3,128,1
156,5.0,0.0,5.0,184.625,3,128,1
157,5.0,0.0,5.0,178.25,4,128,1
159,5.0,0.0,5.0,204.33499999999998,6,128,1
160,6.0,0.0,5.0,289.25,1,129,1
161,6.0,0.0,5.0,209.16500000000002,10,129,1
162,6.0,0.0,5.0,345.69,17,129,1
163,6.0,0.0,5.0,345.69,17,129,1
164,6.0,0.0,5.0,345.69,17,129,1
165,6.0,0.0,5.0,345.69,17,129,1
166,6.0,0.0,5.0,288.75,2,129,1
167,6.0,0.0,5.0,288.75,2,129,1
168,6.0,0.0,5.0,288.75,2,129,1
169,6.0,0.0,5.0,288.75,2,129,1
170,6.0,0.0,5.0,337.83500000000004,22,129,1
172,6.0,0.0,5.0,243.33499999999998,35,129,1
173,6.0,0.0,5.0,243.33499999999998,35,129,1
176,6.0,0.0,5.0,257.0,40,129,1
177,6.0,0.0,5.0,241.18,5,129,1
178,6.0,0.0,5.0,241.18,5,129,1
179,6.0,0.0,5.0,241.18,5,129,1
180,6.0,0.0,5.0,241.18,5,129,1
184,7.0,0.0,5.0,199.875,2,130,1
185,7.0,0.0,5.0,199.75,3,130,1
186,7.0,0.0,5.0,199.75,3,130,1
187,7.0,0.0,5.0,199.75,3,130,1
188,7.0,0.0,5.0,199.75,3,130,1
190,7.0,0.0,5.0,184.0,5,130,1
191,7.0,0.0,5.0,198.66500000000002,6,130,1
192,7.0,0.0,5.0,192.33499999999998,7,130,1
209,8.0,0.0,4.0,146.5,30,131,1
211,9.0,0.0,4.0,148.5,1,132,1
212,9.0,0.0,4.0,125.5,10,132,1
215,9.0,0.0,4.0,91.5,14,132,1
217,9.0,0.0,4.0,110.125,16,132,1
218,9.0,0.0,4.0,112.375,2,132,1
219,9.0,0.0,4.0,112.375,2,132,1
220,9.0,0.0,4.0,98.5,28,132,1
223,9.0,0.0,4.0,103.0,32,132,1
224,9.0,0.0,4.0,117.83500000000001,34,132,1
225,9.0,0.0,4.0,146.5,37,132,1
229,9.0,0.0,4.0,117.725,7,132,1
230,9.0,0.0,4.0,117.725,7,132,1
231,9.0,0.0,4.0,135.28,8,132,1
234,10.0,0.0,4.0,92.0,10,133,1
239,10.0,0.0,4.0,125.0,18,133,1
240,10.0,0.0,4.0,80.5,19,133,1
244,10.0,0.0,4.0,76.0,26,133,1
245,10.0,0.0,4.0,73.0,27,133,1
251,10.0,0.0,3.0,146.83499999999998,38,133,1
252,10.0,0.0,4.0,103.875,5,133,1
253,10.0,0.0,4.0,93.5,6,133,1
254,10.0,0.0,4.0,88.715,7,133,1
255,10.0,0.0,4.0,93.25,8,133,1
256,10.0,0.0,4.0,92.375,9,133,1
263,10.0,0.0,3.0,76.75,18,135,1
269,10.0,0.0,3.0,88.0,5,135,1
276,10.0,0.0,3.0,70.5,14,136,1
281,10.0,0.0,3.0,71.5,20,136,1
282,10.0,0.0,3.0,75.0,22,136,1
291,10.0,0.0,3.0,148.0,1,137,1
308,10.0,0.0,3.0,155.16500000000002,1,138,1
309,10.0,0.0,3.0,100.5,10,138,1
310,10.0,0.0,3.0,80.0,11,138,1
314,10.0,0.0,3.0,87.0,17,138,1
316,10.0,0.0,3.0,69.0,28,138,1
319,10.0,0.0,3.0,81.0,6,138,1
323,10.0,0.0,3.0,112.375,1,139,1
