,Proximity_to_Beer,Covered,Customer_Rating,Price,Row,Section,Home_Away,Family_Bathrooms,Section/Row,Covered_Seating,Home or Away
299,1.0,0.0,4.0,79.0,22,137,1,1,"Section 137, Row 22",Uncovered,Home
300,1.0,0.0,4.0,68.0,26,137,1,1,"Section 137, Row 26",Uncovered,Home
301,1.0,0.0,4.0,68.5,28,137,1,1,"Section 137, Row 28",Uncovered,Home
302,1.0,0.0,4.0,100.0,3,137,1,1,"Section 137, Row 3",Uncovered,Home
303,1.0,0.0,4.0,148.33,4,137,1,1,"Section 137, Row 4",Uncovered,Home
304,1.0,0.0,4.0,116.33,5,137,1,1,"Section 137, Row 5",Uncovered,Home
305,1.0,0.0,4.0,77.0,7,137,1,1,"Section 137, Row 7",Uncovered,Home
306,1.0,0.0,4.0,83.5,8,137,1,1,"Section 137, Row 8",Uncovered,Home
307,1.0,0.0,4.0,75.0,9,137,1,1,"Section 137, Row 9",Uncovered,Home
311,1.0,0.0,4.0,114.0,12,138,1,2,"Section 138, Row 12",Uncovered,Home
312,1.0,0.0,4.0,69.0,15,138,1,2,"Section 138, Row 15",Uncovered,Home
313,1.0,0.0,4.0,77.0,16,138,1,2,"Section 138, Row 16",Uncovered,Home
315,1.0,0.0,4.0,119.5,2,138,1,2,"Section 138, Row 2",Uncovered,Home
317,1.0,0.0,4.0,89.33,4,138,1,2,"Section 138, Row 4",Uncovered,Home
318,1.0,0.0,4.0,104.75,5,138,1,2,"Section 138, Row 5",Uncovered,Home
320,1.0,0.0,4.0,94.75,7,138,1,2,"Section 138, Row 7",Uncovered,Home
321,1.0,0.0,4.0,74.33,8,138,1,2,"Section 138, Row 8",Uncovered,Home
326,1.0,0.0,4.0,112.25,2,139,1,3,"Section 139, Row 2",Uncovered,Home
333,1.0,0.0,4.0,100.5,3,139,1,3,"Section 139, Row 3",Uncovered,Home
334,1.0,0.0,4.0,103.67,4,139,1,3,"Section 139, Row 4",Uncovered,Home
335,1.0,0.0,4.0,92.25,5,139,1,3,"Section 139, Row 5",Uncovered,Home
336,1.0,0.0,4.0,83.0,7,139,1,3,"Section 139, Row 7",Uncovered,Home
337,1.0,0.0,4.0,83.0,8,139,1,3,"Section 139, Row 8",Uncovered,Home
339,10.0,0.0,2.0,297.25,13,213,1,6,"Section 213, Row 13",Uncovered,Home
353,10.0,0.0,1.0,123.33,2,222,1,15,"Section 222, Row 2",Uncovered,Home
354,10.0,0.0,1.0,85.25,1,223,1,16,"Section 223, Row 1",Uncovered,Home
355,10.0,0.0,1.0,76.67,2,223,1,16,"Section 223, Row 2",Uncovered,Home
357,10.0,0.0,1.0,114.0,2,224,1,17,"Section 224, Row 2",Uncovered,Home
358,10.0,0.0,1.0,78.0,3,224,1,17,"Section 224, Row 3",Uncovered,Home
359,10.0,0.0,1.0,72.0,5,224,1,17,"Section 224, Row 5",Uncovered,Home
360,10.0,0.0,1.0,86.67,6,224,1,17,"Section 224, Row 6",Uncovered,Home
361,10.0,0.0,1.0,108.5,8,224,1,17,"Section 224, Row 8",Uncovered,Home
362,10.0,0.0,1.0,72.67,9,224,1,17,"Section 224, Row 9",Uncovered,Home
364,2.0,1.0,1.0,92.5,10,233,1,26,"Section 233, Row 10",Covered,Home
376,1.0,1.0,2.0,97.25,11,301,0,4,"Section 301, Row 11",Covered,Away
377,1.0,1.0,3.0,65.0,12,301,0,4,"Section 301, Row 12",Covered,Away
388,1.0,1.0,3.0,58.67,28,301,0,4,"Section 301, Row 28",Covered,Away
390,1.0,1.0,3.0,64.5,32,301,0,4,"Section 301, Row 32",Covered,Away
396,3.0,1.0,3.0,66.0,21,302,0,3,"Section 302, Row 21",Covered,Away
397,3.0,1.0,3.0,63.67,22,302,0,3,"Section 302, Row 22",Covered,Away
411,3.0,1.0,3.0,51.5,35,302,0,3,"Section 302, Row 35",Covered,Away
413,3.0,1.0,3.0,59.0,37,302,0,3,"Section 302, Row 37",Covered,Away
414,3.0,1.0,3.0,57.0,38,302,0,3,"Section 302, Row 38",Covered,Away
415,3.0,1.0,3.0,61.0,39,302,0,3,"Section 302, Row 39",Covered,Away
416,3.0,1.0,3.0,59.0,40,302,0,3,"Section 302, Row 40",Covered,Away
420,4.0,1.0,3.0,85.0,20,303,0,2,"Section 303, Row 20",Covered,Away
422,4.0,1.0,3.0,73.0,28,303,0,2,"Section 303, Row 28",Covered,Away
425,4.0,1.0,2.0,105.0,32,303,0,2,"Section 303, Row 32",Covered,Away
427,4.0,1.0,3.0,83.0,34,303,0,2,"Section 303, Row 34",Covered,Away
428,4.0,1.0,3.0,81.25,35,303,0,2,"Section 303, Row 35",Covered,Away
430,5.0,1.0,2.0,192.0,1,304,0,1,"Section 304, Row 1",Covered,Away
432,5.0,1.0,3.0,91.5,18,304,0,1,"Section 304, Row 18",Covered,Away
433,5.0,1.0,3.0,74.5,19,304,0,1,"Section 304, Row 19",Covered,Away
435,5.0,1.0,3.0,80.25,21,304,0,1,"Section 304, Row 21",Covered,Away
439,6.0,1.0,2.0,111.33,22,305,0,0,"Section 305, Row 22",Covered,Away
443,6.0,1.0,3.0,90.5,35,305,0,0,"Section 305, Row 35",Covered,Away
445,7.0,1.0,2.0,125.0,23,306,0,1,"Section 306, Row 23",Covered,Away
448,7.0,1.0,2.0,128.5,27,306,0,1,"Section 306, Row 27",Covered,Away
449,7.0,1.0,3.0,68.0,33,306,0,1,"Section 306, Row 33",Covered,Away
450,7.0,1.0,2.0,122.8,34,306,0,1,"Section 306, Row 34",Covered,Away
452,8.0,1.0,2.0,104.0,17,307,0,2,"Section 307, Row 17",Covered,Away
453,8.0,1.0,2.0,106.5,20,307,0,2,"Section 307, Row 20",Covered,Away
457,8.0,1.0,2.0,108.33,26,307,0,2,"Section 307, Row 26",Covered,Away
460,8.0,1.0,2.0,105.0,36,307,0,2,"Section 307, Row 36",Covered,Away
464,9.0,1.0,3.0,87.33,19,308,0,1,"Section 308, Row 19",Covered,Away
468,10.0,1.0,2.0,106.0,16,309,0,0,"Section 309, Row 16",Covered,Away
469,10.0,1.0,3.0,93.0,18,309,0,0,"Section 309, Row 18",Covered,Away
470,10.0,1.0,3.0,89.0,19,309,0,0,"Section 309, Row 19",Covered,Away
472,10.0,1.0,3.0,71.5,21,309,0,0,"Section 309, Row 21",Covered,Away
473,10.0,1.0,3.0,74.0,28,309,0,0,"Section 309, Row 28",Covered,Away
477,10.0,1.0,3.0,69.0,32,309,0,0,"Section 309, Row 32",Covered,Away
480,10.0,1.0,3.0,53.0,21,310,0,1,"Section 310, Row 21",Covered,Away
481,10.0,1.0,3.0,69.0,22,310,0,1,"Section 310, Row 22",Covered,Away
482,10.0,1.0,3.0,63.0,23,310,0,1,"Section 310, Row 23",Covered,Away
483,10.0,1.0,3.0,73.0,24,310,0,1,"Section 310, Row 24",Covered,Away
485,10.0,1.0,3.0,63.5,26,310,0,1,"Section 310, Row 26",Covered,Away
486,10.0,1.0,3.0,58.25,27,310,0,1,"Section 310, Row 27",Covered,Away
487,10.0,1.0,3.0,61.0,28,310,0,1,"Section 310, Row 28",Covered,Away
491,10.0,1.0,3.0,66.67,32,310,0,1,"Section 310, Row 32",Covered,Away
492,10.0,1.0,3.0,49.33,33,310,0,1,"Section 310, Row 33",Covered,Away
493,10.0,1.0,3.0,54.75,35,310,0,1,"Section 310, Row 35",Covered,Away
494,10.0,1.0,3.0,56.0,36,310,0,1,"Section 310, Row 36",Covered,Away
496,10.0,1.0,3.0,56.0,38,310,0,1,"Section 310, Row 38",Covered,Away
497,10.0,1.0,3.0,57.0,39,310,0,1,"Section 310, Row 39",Covered,Away
