,Section,Row,Price
394,127,12,142.5
395,127,13,161.0
396,127,14,189.0
397,127,15,160.33
398,127,16,131.67
399,127,17,218.0
400,127,21,123.0
401,127,22,122.0
402,127,23,154.0
403,127,24,203.0
404,127,3,175.0
405,127,7,198.25
406,128,1,204.0
407,128,2,214.0
408,128,3,203.75
409,128,4,184.5
410,128,5,182.33
411,128,6,222.67
412,129,1,273.5
413,129,10,222.33
414,129,17,321.88
415,129,2,295.0
416,129,22,311.67
417,129,3,260.36
418,129,35,234.67
419,129,37,287.5
420,129,4,316.5
421,129,40,278.0
422,129,5,275.86
423,129,6,288.67
424,129,7,265.12
425,129,Zone Seating,285.77
426,130,2,211.75
427,130,3,221.0
428,130,4,272.0
429,130,5,194.0
430,130,6,214.33
431,130,7,198.67
432,131,10,112.0
433,131,11,145.0
434,131,12,183.0
435,131,14,124.0
436,131,15,147.0
437,131,16,166.67
438,131,18,183.0
439,131,19,174.5
440,131,20,173.0
441,131,21,212.0
442,131,22,126.0
443,131,23,211.0
444,131,24,209.0
445,131,25,142.25
446,131,26,180.33
447,131,27,204.0
448,131,30,153.0
449,131,8,148.0
450,132,1,149.0
451,132,10,142.0
452,132,11,109.33
453,132,12,113.7
454,132,14,88.0
455,132,15,97.4
456,132,16,122.25
457,132,2,118.25
458,132,28,105.0
459,132,29,111.5
460,132,3,116.0
461,132,32,97.0
462,132,34,115.67
463,132,37,133.0
464,132,4,108.55
465,132,5,112.8
466,132,6,125.0
467,132,7,121.45
468,132,8,124.56
469,132,Zone Seating,117.6
470,133,1,84.67
471,133,10,100.0
472,133,11,99.5
473,133,12,72.5
474,133,13,80.0
475,133,14,78.0
476,133,18,121.0
477,133,19,77.0
478,133,20,73.0
479,133,21,113.5
480,133,22,84.0
481,133,26,73.0
482,133,30,95.0
483,133,31,91.67
484,133,32,76.0
485,133,33,79.0
486,133,34,76.0
487,133,38,176.67
488,133,5,106.75
489,133,6,100.0
490,133,7,92.43
491,133,8,101.5
492,133,9,100.75
493,135,10,78.5
494,135,11,70.0
495,135,13,71.0
496,135,14,91.0
497,135,16,90.0
498,135,17,70.0
499,135,18,87.5
500,135,20,77.0
501,135,24,62.0
502,135,25,71.0
503,135,26,66.0
504,135,27,62.0
505,135,5,100.0
506,135,7,84.0
507,135,9,71.0
508,136,10,72.0
509,136,11,70.67
